rank,pano_id,best_yaw,lng,lat,best_view_path,best_view_score,prompt_best,num_views,num_views_above_thresh
265,xua8570ebkVKT_CoQRZsRA,270,9.162442002,45.48184977,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\xua8570ebkVKT_CoQRZsRA_270.jpg,0.21508789,benches along the street,4,1
266,5ugBKnG36dYs8894vnKobA,270,9.200085,45.5052569,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\5ugBKnG36dYs8894vnKobA_270.jpg,0.21496582,bench near the curb,4,1
267,OAwUhpRv5oWUlTnbyFj0EQ,90,9.192405805,45.48676339,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\OAwUhpRv5oWUlTnbyFj0EQ_090.jpg,0.21484375,street benches,4,1
268,Im8jPgXyKwNwm-HAZbwfpg,270,9.2157669,45.4521854,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\Im8jPgXyKwNwm-HAZbwfpg_270.jpg,0.21484375,benches on the sidewalk,4,1
269,OyFey7TwV5GrhicRry6oiA,270,9.2291802,45.4823121,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\OyFey7TwV5GrhicRry6oiA_270.jpg,0.21484375,street benches,4,1
270,Z_wT2ry7Qouus-tbofB8TQ,270,9.2439361,45.4614124,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\Z_wT2ry7Qouus-tbofB8TQ_270.jpg,0.21484375,street furniture benches,4,1
271,pHObFplxufAhA4mYo0P0SA,90,9.1515121,45.4783403,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\pHObFplxufAhA4mYo0P0SA_090.jpg,0.21484375,benches along the street,4,1
272,OrEtF7HaNMiu2FGeEeaCxA,270,9.091793869,45.45566186,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\OrEtF7HaNMiu2FGeEeaCxA_270.jpg,0.21484375,bench near the curb,4,1
273,HoooEnRWtYrIfNO3plsZfQ,270,9.2001341,45.4658684,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\HoooEnRWtYrIfNO3plsZfQ_270.jpg,0.21484375,street benches,4,1
274,KYI0Dnw-S5XC8Fqmy06GmQ,270,9.213872858,45.51675072,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\KYI0Dnw-S5XC8Fqmy06GmQ_270.jpg,0.21484375,public bench,4,1
275,49LllN23RpTrbIU1q-PytQ,0,9.1831176,45.4733298,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\49LllN23RpTrbIU1q-PytQ_000.jpg,0.21472168,street benches,4,1
276,xX1x2vtaQptrt62uonViqQ,90,9.1481841,45.5072879,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\xX1x2vtaQptrt62uonViqQ_090.jpg,0.21472168,bench near the curb,4,1
277,tnguRTCRwSEG6WM861Lx6g,270,9.100057473,45.48042334,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\tnguRTCRwSEG6WM861Lx6g_270.jpg,0.21472168,bench near the curb,4,1
278,jFpWsypnENiK1nec0Fwzpw,270,9.18328082,45.43816809,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\jFpWsypnENiK1nec0Fwzpw_270.jpg,0.21472168,street benches,4,1
