record_id,query_id,query_text,display_order,pano_id,best_yaw,image_path,image_file_name,web_path,top_20_M1,top_20_M2,top_20_M3,top_20_M4,top_20_M5,best_view_path
Q01_POOL_0024_2PCN,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",56,_k4y4KWZAlzByaThepP5pw,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\_k4y4KWZAlzByaThepP5pw_270.jpg,_k4y4KWZAlzByaThepP5pw_270.jpg,images/_k4y4KWZAlzByaThepP5pw_270.jpg,1,0,0,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\_k4y4KWZAlzByaThepP5pw_270.jpg
Q01_POOL_0025_9T84,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",64,elqG5pwU4uxHCpETZgrbiQ,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\elqG5pwU4uxHCpETZgrbiQ_270.jpg,elqG5pwU4uxHCpETZgrbiQ_270.jpg,images/elqG5pwU4uxHCpETZgrbiQ_270.jpg,1,0,0,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\elqG5pwU4uxHCpETZgrbiQ_270.jpg
Q01_POOL_0026_AZYT,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",31,ueefn4lAKZ5ie1pPmji0GQ,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\ueefn4lAKZ5ie1pPmji0GQ_270.jpg,ueefn4lAKZ5ie1pPmji0GQ_270.jpg,images/ueefn4lAKZ5ie1pPmji0GQ_270.jpg,1,0,0,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\ueefn4lAKZ5ie1pPmji0GQ_270.jpg
Q01_POOL_0027_JXEP,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",2,3NNerl9LOKKPEd7p08CmHg,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\3NNerl9LOKKPEd7p08CmHg_270.jpg,3NNerl9LOKKPEd7p08CmHg_270.jpg,images/3NNerl9LOKKPEd7p08CmHg_270.jpg,0,1,0,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\3NNerl9LOKKPEd7p08CmHg_270.jpg
Q01_POOL_0028_Q85J,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",40,61kdjoXsaCU8z4OM5MkydQ,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\61kdjoXsaCU8z4OM5MkydQ_270.jpg,61kdjoXsaCU8z4OM5MkydQ_270.jpg,images/61kdjoXsaCU8z4OM5MkydQ_270.jpg,0,1,0,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\61kdjoXsaCU8z4OM5MkydQ_270.jpg
Q01_POOL_0029_SG65,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",26,CoF8dLn7eg0pdVILnkQLkw,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\CoF8dLn7eg0pdVILnkQLkw_270.jpg,CoF8dLn7eg0pdVILnkQLkw_270.jpg,images/CoF8dLn7eg0pdVILnkQLkw_270.jpg,0,1,0,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\CoF8dLn7eg0pdVILnkQLkw_270.jpg
Q01_POOL_0030_KXVF,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",49,DSHv871I7kYztLs4o3uPiw,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\DSHv871I7kYztLs4o3uPiw_270.jpg,DSHv871I7kYztLs4o3uPiw_270.jpg,images/DSHv871I7kYztLs4o3uPiw_270.jpg,0,1,0,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\DSHv871I7kYztLs4o3uPiw_270.jpg
Q01_POOL_0031_1T2T,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",12,KQ2qoyxmqzzslxv_rGTUuw,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\KQ2qoyxmqzzslxv_rGTUuw_270.jpg,KQ2qoyxmqzzslxv_rGTUuw_270.jpg,images/KQ2qoyxmqzzslxv_rGTUuw_270.jpg,0,1,0,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\KQ2qoyxmqzzslxv_rGTUuw_270.jpg
Q01_POOL_0032_ALA7,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",20,UOROjXAD_XFIWsBAJaItdQ,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\UOROjXAD_XFIWsBAJaItdQ_090.jpg,UOROjXAD_XFIWsBAJaItdQ_090.jpg,images/UOROjXAD_XFIWsBAJaItdQ_090.jpg,0,1,0,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\UOROjXAD_XFIWsBAJaItdQ_090.jpg
Q01_POOL_0033_53LC,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",39,VUkC-BSBqtAKU1cMaqfOdQ,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\VUkC-BSBqtAKU1cMaqfOdQ_090.jpg,VUkC-BSBqtAKU1cMaqfOdQ_090.jpg,images/VUkC-BSBqtAKU1cMaqfOdQ_090.jpg,0,1,0,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\VUkC-BSBqtAKU1cMaqfOdQ_090.jpg
